chemsys,metal,ligand,n,best_delta_E,worst_delta_E,mean_delta_E,median_delta_E,std_delta_E
Co-O,Co,O,39,-0.3565828424330174,-0.0004484186359869,-0.09229059440986213,-0.070898439215934,0.10417798227781094
Co-S,Co,S,4,-0.0882133689004489,-0.0106068050784173,-0.04916842292724115,-0.0489267588650492,0.040555237070860145
Cr-O,Cr,O,52,-0.2536050290405826,-0.0056221350284054,-0.07239300650306976,-0.03786498304226535,0.0757930154096551
Cr-S,Cr,S,7,-0.1130756385898952,-0.0045214555571357,-0.07315269274443052,-0.0778235888529349,0.037926119071481364
Cu-O,Cu,O,1,-0.4481761697967983,-0.4481761697967983,-0.4481761697967983,-0.4481761697967983,
Cu-S,Cu,S,4,-0.330844781972502,-0.0798072845307308,-0.1570156314574137,-0.108705229663211,0.11860017776987528
Fe-O,Fe,O,122,-0.4713825755546094,-0.0005208892456901,-0.09723973046105756,-0.075346102898323,0.08931338552968573
Fe-S,Fe,S,12,-0.1163896643480806,-0.0138604983318336,-0.06819921512046506,-0.07390209465414149,0.03895781883472927
Hf-O,Hf,O,8,-0.2547082801084714,-0.0723058534666633,-0.18637441510836134,-0.2481357637562324,0.08834469416273914
Hf-S,Hf,S,1,-0.0343014539403999,-0.0343014539403999,-0.0343014539403999,-0.0343014539403999,
Mn-O,Mn,O,62,-0.5650836296435213,-0.001688281176031,-0.104514189791623,-0.06863462554722871,0.12310726839761844
Mn-S,Mn,S,5,-0.0280385302952868,-0.0058219402534333,-0.01535236338841176,-0.0130669948876649,0.008644092561640457
Mo-O,Mo,O,1,-0.1184199959945722,-0.1184199959945722,-0.1184199959945722,-0.1184199959945722,
Mo-S,Mo,S,4,-0.1586130006063377,-0.065983674271478,-0.11255755664120423,-0.11281677584350061,0.05010515483849412
Nb-O,Nb,O,17,-0.2684123941870342,-0.0018725741064267,-0.113888708782357,-0.0950039586519049,0.07242573085430398
Nb-S,Nb,S,13,-1.0842023921852433,-7.521880662195515e-05,-0.2235530546125471,-0.1299769463492968,0.2910344599549192
Ni-O,Ni,O,29,-0.2641469386601428,-3.9130109570294745e-05,-0.08311850235431452,-0.0724682875379509,0.07609171142166359
Ni-S,Ni,S,12,-0.3366414857509834,-0.0028792573203207,-0.0911586870638238,-0.059112760581909105,0.09772708138696963
Pd-O,Pd,O,3,-0.3659186590475131,-6.222985105498041e-05,-0.14104825459964995,-0.0571638749003818,0.19682523609599453
Pd-S,Pd,S,3,-0.1654040371581073,-0.0703960055736149,-0.1165940473355357,-0.1139820992748849,0.04755784079301362
Rh-O,Rh,O,4,-0.1669840359979043,-0.081589350806994,-0.1067681595792612,-0.08924962575607326,0.04044160812214641
Rh-S,Rh,S,1,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,
Sc-O,Sc,O,8,-0.4387089915759971,-0.0267760387026724,-0.18311571010891478,-0.15089766163755006,0.15107133847241755
Sc-S,Sc,S,3,-0.277944709160809,-0.0646852634887339,-0.13684470199516094,-0.0679041333359399,0.12220678908056934
Ta-O,Ta,O,6,-0.2558979205585986,-0.0582325198047619,-0.13008074838553546,-0.1217281068797397,0.07304527482343075
Ta-S,Ta,S,6,-0.2798808034141286,-0.0011580959208354,-0.15305757535800585,-0.1415969206151971,0.09885532734349914
Tc-O,Tc,O,1,-0.1178296629101884,-0.1178296629101884,-0.1178296629101884,-0.1178296629101884,
Ti-O,Ti,O,107,-1.6057661461466,-0.0013537552735208,-0.28267360466918057,-0.1383391378585381,0.3834841817478039
Ti-S,Ti,S,14,-0.7069226199479104,-0.0061766977331722,-0.15846982521178038,-0.0645382196858777,0.21480349296486137
V-O,V,O,130,-0.6891613514457487,-0.0020327994549086,-0.0987093233190171,-0.08317956774025614,0.07241832944423643
V-S,V,S,13,-0.4423245653306554,-0.0005012014548109,-0.10356334319273298,-0.0732435221203235,0.12863011710141983
Y-O,Y,O,19,-0.6326966991093349,-0.0013405907472044,-0.2069900644237729,-0.1165153187940653,0.23915094772544304
Y-S,Y,S,4,-0.2155435175171478,-0.018238756798264,-0.11399126733541733,-0.11109139751312874,0.08117460887475447
Zn-O,Zn,O,5,-0.2045787050979867,-0.1136383585203062,-0.18398881165149458,-0.2038882237641298,0.03959527714930152
Zn-S,Zn,S,98,-0.2049524028841518,-0.0591086933613166,-0.10263519109744337,-0.1079162499164326,0.02977148695880586
Zr-O,Zr,O,19,-0.3419377176395783,-0.0040043007703217,-0.15572789416029287,-0.129005946256626,0.09815233871222895
Zr-S,Zr,S,11,-0.7231444753281236,-0.0577098220038514,-0.34936038680728015,-0.4051212867307233,0.1932981157829477
