pair,ligand_examples,n_total,best_overall_delta_E,worst_overall_delta_E,mean_overall_delta_E
Pd-Zn,O,1,-0.0014537823365872,-0.0014537823365872,-0.0014537823365872
Mo-Ti,O,1,-0.0040605100497516,-0.0040605100497516,-0.0040605100497516
Cr-Zr,O,1,-0.0070968669439945,-0.0070968669439945,-0.0070968669439945
Cd-Ti,O,2,-0.0101620706826731,-0.0055907120155064,-0.00787639134908975
Mo-Ni,O,1,-0.010807583790058,-0.010807583790058,-0.010807583790058
Ni-Pt,O,1,-0.0114029069414299,-0.0114029069414299,-0.0114029069414299
Cd-Ni,O,1,-0.0121576387402438,-0.0121576387402438,-0.0121576387402438
Fe-Rh,O,1,-0.0127568841336949,-0.0127568841336949,-0.0127568841336949
Cr-Tc,O,1,-0.01521594828682,-0.01521594828682,-0.01521594828682
Hg-Mn,O,1,-0.016828365974141,-0.016828365974141,-0.016828365974141
Fe-Hf,O,1,-0.0180207291971075,-0.0180207291971075,-0.0180207291971075
Cd-Cr,O,1,-0.0208637008601896,-0.0208637008601896,-0.0208637008601896
V-W,O,1,-0.0242898217481393,-0.0242898217481393,-0.0242898217481393
Co-Cr,O,5,-0.0576742606668846,-0.0063119143209073,-0.01918687574961158
Co-Rh,"O,S",2,-0.0578836342060069,-0.0051857983706196,-0.03153471628831325
