chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Co-O,Co15O28_766681_POSCAR,35,local_max_drop,9.8993691099,-0.21732010699529,-0.1070501704387927,-0.1102699365564972,8.432796,17.965522,0.01002028
Co-O,Co21O40_850026_POSCAR,35,local_max_drop,13.0868100095,-0.31046804622078,-0.1652265947054371,-0.1452414515153428,12.117417,23.750137,0.01201446
Co-O,Co23O32_2740066_POSCAR,35,local_max_drop,9.8910394103,-0.43595153022094,-0.2204992887766194,-0.2154522414443206,8.4257,17.950405,0.02250805
Co-O,Co23O32_705564_POSCAR,35,local_max_drop,9.8040115447,-0.43332187480738,-0.2289708424209505,-0.2043510323864295,8.672779,18.476791,0.02251589
Co-O,Co29O40_705563_POSCAR,35,local_max_drop,9.905846033,-0.54031480659263,-0.2768684160449475,-0.2634463905476825,8.38187,18.66871,0.02709873
Co-O,Co2O3_1043418_POSCAR,35,local_max_drop,6.695793312,-0.14459592567031,-0.0674644845584989,-0.077131441111811,5.665671,12.618995,0.00962783
Co-O,Co3O4_1271784_POSCAR,35,global_gradient_fallback,6.4430477383,-0.11121007134701,-0.0989989340656185,-0.0122111372813914,4.123551,12.628374,0.01470969
Co-O,Co3O4_1271793_POSCAR,35,local_max_drop,6.5807666898,-0.11750007019985,-0.0580787761074763,-0.0594212940923736,5.568341,12.402214,0.00857373
Co-O,Co3O4_1271940_POSCAR,35,global_gradient_fallback,6.4430477383,-0.11121007134701,-0.0989989340656185,-0.0122111372813914,4.123551,12.628374,0.01470969
Co-O,Co3O4_18748_POSCAR,35,global_gradient_fallback,6.4051531213,-0.11254454141021,-0.1098466597744875,-0.0026978816357225,3.941633,12.07125,0.01761549
Co-O,Co5O7_1046082_POSCAR,35,local_max_drop,6.680741665,-0.18355617776243,-0.0874343982035487,-0.0961217795588812,5.652935,12.590629,0.01259773
Co-O,Co9O13_1343966_POSCAR,35,local_max_drop,6.6116053468,-0.16651703922022,-0.0775254070843124,-0.0889916321359075,5.594435,12.460333,0.01123204
Co-O,CoO2_1047639_POSCAR,35,global_gradient_fallback,6.339012264,-0.049754821398559,-0.0336672746987725,-0.0160875466997864,5.607588,11.9466,0.00484255
Co-O,CoO2_1062643_POSCAR,35,global_gradient_fallback,11.8799397887,-0.010582674262563,-0.0088889554275621,-0.0016937188350008,7.310732,22.389117,0.00068705
Co-O,CoO2_1063268_POSCAR,35,global_gradient_fallback,35.2388168145,-0.0067699945469969,-0.0041419197987466,-0.0026280747482502,28.71311,63.951927,9.796e-05
Co-O,CoO2_1226115_POSCAR,35,global_gradient_fallback,4.1074722,-0.008105301645499,-0.0053959249654689,-0.00270937668003,3.791513,7.741005,0.00117524
Co-O,CoO2_1244867_POSCAR,35,local_max_drop,14.6982387677,-0.32244037436292,-0.2265279085982336,-0.0959124657646863,13.065101,26.674581,0.01584012
Co-O,CoO2_1244948_POSCAR,35,local_max_drop,12.7197680699,-0.38157742180683,-0.2599691066230125,-0.1216083151838174,11.741324,23.971871,0.01964347
Co-O,CoO2_1245011_POSCAR,35,local_max_drop,13.4968241509,-0.34506697884322,-0.2363431288896668,-0.1087238499535531,12.458607,25.436322,0.01659909
Co-O,CoO2_1245099_POSCAR,35,local_max_drop,14.4740555025,-0.36109991202129,-0.2322109872041313,-0.1288889248171587,12.865827,26.26773,0.01637814
Co-O,CoO2_1245119_POSCAR,35,local_max_drop,13.3305359192,-0.34326266199667,-0.2273200924604216,-0.1159425695362483,12.30511,25.122933,0.01604443
Co-O,CoO2_1272749_POSCAR,35,global_gradient_fallback,3.736715378,-0.023086498952925,-0.0205317367067975,-0.0025547622461274,2.21435,6.781446,0.00549394
Co-O,CoO2_1281832_POSCAR,35,global_gradient_fallback,3.3010084648,-0.023357210161694,-0.0184878552876729,-0.004869354874021,2.03139,6.221131,0.00530086
Co-O,CoO2_1349907_POSCAR,35,local_max_drop,6.6778999083,-0.22520604456196,-0.1357335491774737,-0.0894724953844862,6.183241,12.119152,0.02032098
Co-O,CoO2_1356781_POSCAR,35,local_max_drop,7.63163937,-0.16654330117843,-0.0956448619624959,-0.070898439215934,7.066333,13.850012,0.01210372
Co-O,CoO2_1359404_POSCAR,35,local_max_drop,7.6587476265,-0.1689489031644,-0.093839652671225,-0.0751092504931749,7.091433,13.899209,0.01172234
Co-O,CoO2_1400906_POSCAR,35,global_gradient_fallback,3.7229877487,-0.057197600068585,-0.032178082772706,-0.0250195172958789,3.309322,6.756533,0.00809275
